Age,Gender,City,Position,Years_worked,Seniority,Technology,Salary
26,Male,Munich,Software Engineer,5,Senior,TypeScript,80000
26,Male,Berlin,Backend Developer,7,Senior,Ruby,80000
29,Male,Berlin,Software Engineer,12,Lead,Javascript / Typescript,120000
28,Male,Berlin,Frontend Developer,4,Junior,Javascript,54000
37,Male,Berlin,Backend Developer,17,Senior,C# .NET,62000
32,Male,Berlin,DevOps,5,Senior,"AWS, GCP, Python,K8s",76000
37,Male,Berlin,Frontend Developer,6,Middle,Javascript,57000
24,Male,Berlin,Frontend Developer,5,Senior,Typescript,65000
29,Male,Berlin,Backend Developer,8,Senior,PHP,56000
35,Male,Berlin,Software Engineer,15,Lead,Java,95000
32,Female,Hamburg,Data Engineer,2,Junior,Aws Hadoop Postgre Typescript,52500
34,Male,Berlin,Software Engineer,14,Senior,Typescript,70000
31,Male,Wolfsburg,Backend Developer,5,Senior,Kotlin,75000
29,Male,Hamburg,Backend Developer,7,Middle,Ruby,60350
27,Male,Berlin,Backend Developer,8,Senior,PHP,60000
34,Male,Berlin,Mobile Developer,11,Lead,kotlin,80000
34,Male,Berlin,Software Architect,15,Lead,NodeJS,100000
25,Male,Berlin,Software Engineer,5,Senior,Javascript,65000
59,Male,Berlin,Backend Developer,30,Senior,Java,69000
36,Male,Berlin,Software Engineer,17,Lead,PHP,70000
38,Male,Berlin,Team Lead,18,Lead,iOS,80000
24,Male,Berlin,DevOps,6,Senior,Kubernetes,75000
37,Male,Berlin,Test manager,6,Middle,Charles,47400
40,Male,Berlin,Product Manager,13,Senior,SQL,70000
29,Male,Berlin,Software Engineer,6,Lead,Go,85000
31,Male,Berlin,Backend Developer,5,Middle,java,65000
39,Male,Berlin,Software Engineer,8,Senior,Java,80000
27,Male,Berlin,Software Engineer,8,Middle,Javascript,63000
33,Male,Berlin,Data Scientist,5,Lead,Python,150000
28,Female,Berlin,Designer (UI/UX),7,Middle,Figma,45000
30,Male,Berlin,Software Engineer,8,Senior,JavaScript,80000
28,Male,Berlin,Backend Developer,5,Senior,Kotlin,75000
38,Male,Berlin,DevOps,10,Senior,Go/Python,70000
29,Male,Berlin,Frontend Developer,7,Senior,React,72000
49,Male,Berlin,Software Engineer,15,Senior,Java,67000
32,Male,Berlin,Frontend Developer,10,Senior,TypeScript,105000
33,Female,Berlin,Software Engineer,12,Senior,C#,88000
30,Male,Berlin,Software Engineer,6,Senior,Java,74000
48,Male,Berlin,Software Engineer,25,Senior,Java,75000
32,Male,Berlin,Backend Developer,3,Middle,Java,77000
31,Male,Berlin,Software Engineer,7,Lead,Python,76000
35,Male,Berlin,Backend Developer,10,Senior,Ruby,75000
28,Female,Berlin,Designer (UI/UX),7,Middle,Figma,45000
32,Male,Berlin,Backend Developer,8,Senior,PHP,65000
44,Male,Berlin,Backend Developer,12,Senior,Java,68000
35,Male,Munich,Software Engineer,11,Senior,Php,65000
33,Male,Munich,DevOps,15,Lead,Kubernetes,90000
29,Male,Berlin,Software Engineer,5,Senior,Go,75000
66,Male,Munich,Software Engineer,40,Lead,ruby on rails,70000
39,Female,Berlin,Software Engineer,10,Senior,Java,70500
28,Male,Munich,Backend Developer,5,Senior,Kotlin,72000
34,Male,Munich,Frontend Developer,5,Senior,JavaScript/ES6,73500
34,Male,Munich,Software Engineer,13,Lead,.NET,72000
32,Male,Munich,Frontend Developer,7,Senior,Javascript,62000
38,Male,Stuttgart,Hardware Engineer,15,Lead,Hardware,83000
45,Male,Schleswig-Holstein,Software Engineer,26,Senior,C#,93000
28,Male,Berlin,Software Engineer,3,Middle,Js,55000
29,Male,Konstanz area,Mobile Developer,6,Middle,android,53000
36,Male,Munich,Backend Developer,15,Senior,java,55000
39,Male,Berlin,Software Engineer,10,Senior,C#,75000
29,Male,Munich,Software Engineer,7,Senior,JavaScript ,80000
31,Male,Berlin,Engineering Manager,11,Lead,Java,80000
30,Male,Berlin,Backend Developer,5,Middle,Java,55000
33,Male,Frankfurt,Software Engineer,4,Middle,Java,50000
27,Male,Berlin,Software Engineer,5,Senior,Scala,78000
26,Female,Munich,Data Scientist,6,Middle,python,60000
26,Male,Berlin,Software Engineer,8,Lead,Go,85000
31,Female,Berlin,Analytics engineer,6,Middle,SQL,60000
30,Male,Berlin,Software Engineer,10,Senior,Scala,72000
43,Male,Berlin,Mobile Developer,5,Senior,Kotlin,72000
33,Male,Berlin,Software Engineer,5,Middle,python,65000
31,Male,Berlin,Software Engineer,9,Senior,"C#, .net core",60000
32,Female,Berlin,QA Engineer,10,Senior,Java,61000
24,Male,Berlin,Data Scientist,4,Senior,Python,73000
29,Male,Berlin,DevOps,7,Lead,Kubernetes,78000
29,Male,Berlin,Data Scientist,4,Senior,Python,81000
30,Male,Munich,Hardware Engineer,5,Senior,VHDL,75000
35,Female,Berlin,Reporting Engineer,3,Middle,Power BI,55000
33,Male,Munich,QA Engineer,5,Senior,Java,60000
28,Male,Berlin,Software Engineer,8,Lead,PHP ,80000
31,Female,Munich,agile master ,14,Middle,none,80000
32,Male,Munich,Software Engineer,7,Senior,Android,60000
30,Male,Berlin,Backend Developer,8,Senior,Scala,80000
26,Male,Munich,Backend Developer,7,Senior,Java,78000
31,Male,Munich,Software Engineer,10,Senior,Java,68000
38,Female,Munich,QA Engineer,6,Middle,Java,62000
37,Male,Berlin,Software Engineer,10,Senior,PHP,55000
25,Male,Munich,Software Engineer,3,Middle,Java,62000
36,Male,Berlin,Frontend Developer,12,Senior,JavaScript,72000
27,Male,Munich,QA Engineer,5,Senior,Swift,58000
35,Male,Frankfurt,ML Engineer,12,Senior,ML,120000
37,Male,Munich,Software Engineer,15,Senior,php,75000
26,Male,Munich,Data Scientist,3,Middle,Python,65000
33,Male,Frankfurt,Solution Architect,6,Middle,Python,85000
34,Male,Berlin,Frontend Developer,7,Senior,JavaScript,65000
33,Male,Berlin,Backend Developer,12,Lead,PHP,65000
29,Male,Berlin,Backend Developer,8,Senior,Scala,72000
24,Male,Munich,Software Engineer,5,Middle,C++,79000
30,Female,Berlin,Software Engineer,8,Senior,"Scala, React.js",75000
28,Male,Cologne,BI Consultant,8,Senior,SQL,60000
31,Male,Munich,Backend Developer,11,Senior,PHP,80000
28,Male,Munich,Mobile Developer,5,Senior,iOS,57000
32,Female,Kempten,Fullstack Developer,10,Middle,C#,49000
28,Male,Berlin,Software Engineer,6,Senior,Java,65000
26,Female,Munich,Data Scientist,3,Junior,Ml/Python,70000
33,Male,Berlin,Mobile Developer,6,Middle,Swift,63000
31,Male,Berlin,Software Engineer,9,Senior,"C#, .net core",60000
30,Male,Munich,Frontend Developer,6,Senior,Javascript,75000
31,Male,Berlin,Frontend Developer,8,Senior,JavaScript/TypeScript,70000
37,Male,Munich,Backend Developer,12,Senior,php,62000
30,Male,Berlin,Software Engineer,10,Lead,Python,78000
25,Male,Munich,Backend Developer,5,Senior,Java,75000
36,Male,Berlin,Backend Developer,19,Senior,PHP,69000
40,Male,Berlin,Frontend Developer,7,Middle,Javascript,54000
35,Male,Munich,Software Engineer,13,Senior,Java,80000
42,Male,Berlin,Software Engineer,20,Senior,Ruby on Rails,80000
34,Male,Berlin,QA Engineer,10,Senior,Java,75000
30,Male,Berlin,Backend Developer,6,Senior,Ruby,75000
